"name","long","lat","callret-3","area"
"Abaújvár",21.3155,48.5264,"330",7.32e+06
"Abda",17.5419,47.6951,"3126",1.902e+07
"Abod",20.8,48.4,"282",3.116e+07
"Acsa",19.3815,47.7971,"1528",2.694e+07
"Acsalag",17.1976,47.6778,"469",1.045e+07
"Acsád",16.7344,47.3229,"661",1.434e+07
"Adorjás",18.0667,45.85,"180",8.1e+06
"Cibakháza",20.2011,46.9533,"4400",1.3808e+08
"Cikó",18.5614,46.2593,"900",1.986e+07
"Cirák",17.0272,47.4768,"647",1.178e+07
"Csabacsüd",20.65,46.833,"2130",6.688e+07
"Csabaszabadi",20.95,46.57,"380",3.271e+07
"Csabdi",18.6102,47.523,"1174",1.687e+07
"Csaholc",22.7333,47.9833,"559",1.935e+07
"Csajág",18.1853,47.0451,"889",2.237e+07
"Csanytelek",20.1048,46.6062,"2628",3.471e+07
"Csanádalberti",20.7167,46.3333,"439",1.532e+07
"Csanádapáca",20.8833,46.55,"2527",5.131e+07
"Csapod",16.9256,47.516,"567",2.919e+07
"Csaroda",22.4667,48.1667,"654",2.468e+07
"Csataszög",20.3869,47.285,"294",1.121e+07
"Csatka",17.9763,47.3803,"302",1.777e+07
"Csegöld",22.6833,47.9,"671",1.935e+07
"Csehbánya",17.6855,47.1772,"283",1.283e+07
"Csehi",16.9452,47.0337,"301",9.34e+06
"Csehimindszent",16.9533,47.0486,"421",1.543e+07
"Csempeszkopács",16.8089,47.1556,"283",5.4e+06
"Csengele",19.8667,46.5333,"2006",6.066e+07
"Csengersima",22.7478,47.8672,"741",2.38e+07
"Csengöd",19.2667,46.7167,"2335",4.889e+07
"Csenyéte",21.0417,48.4351,"421",9.97e+06
"Cserdi",17.9906,46.0808,"352",6.46e+06
"Cserkeszölö",20.2056,46.8639,"2260",3.07e+07
"Csertalakos",16.6984,46.6423,"17",1.99e+06
"Cserénfa",17.8804,46.3096,"198",1.775e+07
"Cserépfalu",20.5351,47.9404,"1083",4.464e+07
"Csesztve",19.2776,48.0152,"335",1.625e+07
"Csetény",17.9988,47.3177,"2049",1.837e+07
"Csibrák",18.3445,46.4662,"358",1.462e+07
"Csikvánd",17.4554,47.4674,"497",1.453e+07
"Csikéria",19.4789,46.1222,"942",2.581e+07
"Csipkerek",16.9375,47.0739,"403",1.313e+07
"Csobaj",21.3358,48.049,"804",1.959e+07
"Csobánka",18.9678,47.6425,"3175",2.276e+07
"Csokonyavisonta",17.4461,46.081,"1546",8.129e+07
"Csokvaomány",20.3775,48.1667,"880",1.501e+07
"Csolnok",18.713,47.6935,"3402",1.87e+07
"Csoma",18.0494,46.3711,"415",8.43e+06
"Csombárd",17.6716,46.4526,"251",8.99e+06
"Csomád",19.2365,47.6539,"1313",1.239e+07
"Csonkamindszent",17.9656,46.0532,"180",5.52e+06
"Csopak",17.9188,46.9783,"1752",2.398e+07
"Csurgónagymarton",17.0811,46.2954,"151",1.482e+07
"Csáfordjánosfa",16.9504,47.4159,"244",5.28e+06
